experiment_id,condition,n,mean_kill_rate,sd_kill_rate,mean_survival,sd_survival,mean_kills,mean_damage,mean_ammo_eff,mean_latency_p99
DOE-021,G04_adaptive_tuned,30,38.23907296544164,3.860707697919908,15.507619047619047,4.238476505423607,9.8,980.0,0.0,0.001527766666666667
DOE-021,G05_crossover_A,30,42.801081514271644,6.598558694903593,19.545714285714283,6.148742054511678,14.0,1400.0,0.0,0.0011611000000000006
DOE-021,G06_crossover_B,30,38.4410199746973,3.9691063998598044,15.30285714285714,3.573548927223029,9.733333333333333,973.3333333333334,0.0,0.0008222
DOE-021,G07_burst_2,30,41.411483880562294,5.839859008117642,20.065714285714282,5.944027688813074,13.733333333333333,1373.3333333333333,0.0,0.001106966666666667
DOE-021,G08_burst_5,30,44.56984202494885,6.101962237458346,18.679047619047612,4.370489504939283,13.666666666666666,1366.6666666666667,0.0,0.003055566666666668
DOE-021,G09_aggressive,30,44.10486908105682,4.569214271470325,19.258095238095233,6.608111294578719,14.233333333333333,1423.3333333333333,0.0,0.0010777333333333338
DOE-021,G10_random_baseline,30,43.492037214955964,7.217205562963825,19.753333333333334,6.154489997265149,14.1,1410.0,0.0,0.0011000000000000003
DOE-021_gen2,gen2_G01_elite,30,44.96325595531244,6.036998979974547,19.575238095238095,5.024739546130809,14.433333333333334,1443.3333333333333,0.0,0.0014875000000000003
DOE-021_gen2,gen2_G02_x12a,30,41.67686670803927,7.2455167048707505,18.304761904761904,7.390323411824606,12.466666666666667,1246.6666666666667,0.0,0.001637533333333334
DOE-021_gen2,gen2_G03_x12b,30,34.83095044761287,4.990191752063262,13.061904761904763,5.5609024390950665,7.4,740.0,0.0,0.0013097333333333336
DOE-021_gen2,gen2_G04_x13,30,44.96325595531244,6.036998979974547,19.575238095238095,5.024739546130809,14.433333333333334,1443.3333333333333,0.0,0.0014875333333333337
DOE-021_gen2,gen2_G05_x24,30,43.26099325000999,6.426921956093092,18.60380952380952,6.722838000861807,13.266666666666667,1326.6666666666667,0.0,0.0015083666666666673
